slug,market_id,entry_ts,direction,entry_price,fill_price,entry_btc_spot,final_btc_price,btc_price_to_beat,yes_won,fee_rate,payout,fee,pnl,outcome,signal_score,signal_confidence,signal_count,fee_regime
btc-updown-15m-1764189900,704165,1764190688,LONG,0.995,0.9999,89913.0,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,92.10626185958255,0.7820312500000001,3,no-fee
btc-updown-15m-1764191700,704253,1764192488,LONG,0.995,0.9999,90265.96,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764192600,704309,1764193388,SHORT,0.245,0.24000000000000005,90211.39,0.0,0.0,False,0.0,0.31578947368421056,0.0,0.31578947368421056,WIN,100.0,0.7195312500000001,3,no-fee
btc-updown-15m-1764193500,704336,1764194289,SHORT,0.255,0.25,90170.91,0.0,0.0,False,0.0,0.3333333333333333,0.0,0.3333333333333333,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764194400,704391,1764195187,LONG,0.995,0.9999,90327.95,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764196200,704528,1764197000,SHORT,0.195,0.19,90244.11,0.0,0.0,False,0.0,0.2345679012345679,0.0,0.2345679012345679,WIN,100.0,0.7325520833333333,3,no-fee
btc-updown-15m-1764197100,704533,1764197889,LONG,0.965,0.97,90444.33,0.0,0.0,True,0.0,0.03092783505154642,0.0,0.03092783505154642,WIN,92.01535508637237,0.7742187500000001,3,no-fee
btc-updown-15m-1764198000,704551,1764198786,LONG,0.98,0.99,90510.72,0.0,0.0,True,0.0,0.01010101010101011,0.0,0.01010101010101011,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764198900,704667,1764199689,SHORT,0.005,0.0001,90338.7,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764199800,704723,1764200588,LONG,0.955,0.96,90410.03,0.0,0.0,True,0.0,0.041666666666666706,0.0,0.041666666666666706,WIN,91.98458574181117,0.7716145833333333,3,no-fee
btc-updown-15m-1764200700,704727,1764201486,LONG,0.97,0.975,90506.56,0.0,0.0,True,0.0,0.025641025641025664,0.0,0.025641025641025664,WIN,85.82552551094713,0.7275155832591274,2,no-fee
btc-updown-15m-1764201600,704736,1764202404,SHORT,0.0005,0.0001,90184.8,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764202500,704786,1764203288,LONG,0.875,0.88,90198.14,0.0,0.0,True,0.0,0.13636363636363635,0.0,0.13636363636363635,WIN,91.72962226640159,0.7507812500000001,3,no-fee
btc-updown-15m-1764203400,704790,1764204188,LONG,0.995,0.9999,90334.41,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764204300,704795,1764205087,LONG,0.985,0.99,90450.01,0.0,0.0,True,0.0,0.01010101010101011,0.0,0.01010101010101011,WIN,85.75042392312861,0.7250437828371279,2,no-fee
btc-updown-15m-1764205200,704807,1764205999,LONG,0.985,0.99,90626.79,0.0,0.0,True,0.0,0.01010101010101011,0.0,0.01010101010101011,WIN,85.71961631856668,0.7240373395565929,2,no-fee
btc-updown-15m-1764206100,704826,1764206888,LONG,0.785,0.79,90738.62,0.0,0.0,True,0.0,0.2658227848101265,0.0,0.2658227848101265,WIN,86.88409146295348,0.7653673163418291,2,no-fee
btc-updown-15m-1764207900,704834,1764208687,LONG,0.995,0.9999,91020.0,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764208800,704848,1764209588,SHORT,0.005,0.0001,91043.9,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.7820312500000001,3,no-fee
btc-updown-15m-1764209700,704862,1764210489,LONG,0.995,0.9999,91383.6,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764210600,704867,1764211402,LONG,0.995,0.9999,91765.99,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764211500,704872,1764212289,SHORT,0.005,0.0001,91456.7,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.7820312500000001,3,no-fee
btc-updown-15m-1764212400,704878,1764213187,LONG,0.705,0.71,91312.96,0.0,0.0,False,0.0,-1.0,0.0,-1.0,LOSS,90.104662226451,0.7065104166666667,3,no-fee
btc-updown-15m-1764213300,704893,1764214088,LONG,0.625,0.63,91340.61,0.0,0.0,False,0.0,-1.0,0.0,-1.0,LOSS,100.0,0.6131656804733727,2,no-fee
btc-updown-15m-1764214200,704901,1764214989,SHORT,0.015,0.009999999999999995,91115.64,0.0,0.0,False,0.0,0.010101010101010097,0.0,0.010101010101010097,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764215100,704905,1764215887,LONG,0.79,0.805,91141.98,0.0,0.0,False,0.0,-1.0,0.0,-1.0,LOSS,90.36442248301421,0.7286458333333333,3,no-fee
btc-updown-15m-1764216000,704913,1764216789,LONG,0.995,0.9999,91323.42,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764216900,704971,1764217686,SHORT,0.09,0.08499999999999999,91152.45,0.0,0.0,False,0.0,0.09289617486338797,0.0,0.09289617486338797,WIN,100.0,0.7598958333333333,3,no-fee
btc-updown-15m-1764217800,704977,1764218587,LONG,0.805,0.8150000000000001,91185.82,0.0,0.0,True,0.0,0.22699386503067476,0.0,0.22699386503067476,WIN,90.40885336612358,0.7325520833333333,3,no-fee
btc-updown-15m-1764218700,704979,1764219486,LONG,0.995,0.9999,91267.52,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764219600,704999,1764220388,SHORT,0.31,0.305,91281.42,0.0,0.0,True,0.0,-1.0,0.0,-1.0,LOSS,100.0,0.7026041666666667,3,no-fee
btc-updown-15m-1764220500,705013,1764221289,LONG,0.995,0.9999,91507.26,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764221400,705022,1764222187,SHORT,0.005,0.0001,90967.0,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764223200,705034,1764223986,LONG,0.995,0.9999,91230.55,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764224100,705047,1764224888,LONG,0.995,0.9999,91349.2,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764225000,705053,1764225788,SHORT,0.035,0.03,91313.72,0.0,0.0,False,0.0,0.030927835051546393,0.0,0.030927835051546393,WIN,100.0,0.7742187500000001,3,no-fee
btc-updown-15m-1764225900,705055,1764226700,SHORT,0.025,0.019999999999999997,91241.69,0.0,0.0,False,0.0,0.02040816326530612,0.0,0.02040816326530612,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764226800,705063,1764227587,LONG,0.975,0.98,91292.01,0.0,0.0,True,0.0,0.02040816326530614,0.0,0.02040816326530614,WIN,92.04588910133843,0.7768229166666667,3,no-fee
btc-updown-15m-1764227700,705068,1764228489,LONG,0.995,0.9999,91442.92,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764228600,705073,1764229389,SHORT,0.05,0.045,91364.64,0.0,0.0,False,0.0,0.04712041884816754,0.0,0.04712041884816754,WIN,100.0,0.7703125000000001,3,no-fee
btc-updown-15m-1764229500,705077,1764230287,LONG,0.825,0.83,91402.04,0.0,0.0,True,0.0,0.20481927710843378,0.0,0.20481927710843378,WIN,90.46746104491292,0.7377604166666667,3,no-fee
btc-updown-15m-1764230400,705085,1764231189,SHORT,0.005,0.0001,91228.92,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764231300,705090,1764232086,LONG,0.995,0.9999,91331.16,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,92.10626185958255,0.7820312500000001,3,no-fee
btc-updown-15m-1764232200,705094,1764232986,LONG,0.66,0.665,91368.61,0.0,0.0,True,0.0,0.5037593984962405,0.0,0.5037593984962405,WIN,100.0,0.65,1,no-fee
btc-updown-15m-1764233100,705095,1764233886,LONG,0.995,0.9999,91484.91,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764234000,705144,1764234787,LONG,0.775,0.78,91506.75,0.0,0.0,True,0.0,0.282051282051282,0.0,0.282051282051282,WIN,84.66912711355248,0.6921397379912664,2,no-fee
btc-updown-15m-1764234900,705151,1764235687,LONG,0.975,0.98,91583.49,0.0,0.0,True,0.0,0.02040816326530614,0.0,0.02040816326530614,WIN,86.26799452494454,0.7426273458445039,2,no-fee
